"inv","it","alpha.mn","gamma","beta.t","beta.s","distr"
3150,98,78.1875,773,0.591916500047596,0.837675441195203,"betaDiscr0.4"
3228,99,81.375,780,0.587083151424187,0.844816832350857,"betaDiscr0.4"
3307,100,77.03125,776,0.609237150503877,0.844873753474781,"betaDiscr0.4"
3385,101,78.0625,774,0.568879137848867,0.836201231352431,"betaDiscr0.4"
3463,102,79.59375,766,0.593368635294634,0.839744152440151,"betaDiscr0.4"
3540,103,79.65625,769,0.598094849222944,0.837767092487046,"betaDiscr0.4"
3617,104,76.78125,782,0.609975856994531,0.845279929708096,"betaDiscr0.4"
3696,105,78.09375,785,0.593854002250581,0.849038417538375,"betaDiscr0.4"
3775,106,80.96875,802,0.59437473144835,0.852376145714325,"betaDiscr0.4"
3856,107,78.96875,810,0.57993882478727,0.845446117150858,"betaDiscr0.4"
3938,108,80.03125,808,0.587508910284407,0.843850073558605,"betaDiscr0.4"
4019,109,78.25,811,0.612411552571142,0.84797477959257,"betaDiscr0.4"
4101,110,76.28125,813,0.631760051248081,0.841277993825449,"betaDiscr0.4"
4183,111,77.4375,795,0.596179615512361,0.848610831808304,"betaDiscr0.4"
4263,112,79.4375,785,0.59066037035668,0.835204974185649,"betaDiscr0.4"
4342,113,78.09375,761,0.576619047396291,0.835692644940316,"betaDiscr0.4"
4419,114,78.6875,747,0.56856335895717,0.827205596325684,"betaDiscr0.4"
4494,115,81.15625,741,0.599437706892085,0.842407651824009,"betaDiscr0.4"
4569,116,81.28125,735,0.575401919743389,0.842518795676722,"betaDiscr0.4"
4643,117,79.75,723,0.573868142539891,0.823199469455376,"betaDiscr0.4"
4716,118,80.8125,733,0.578536329963486,0.828238330553844,"betaDiscr0.4"
4790,119,80.09375,721,0.611019027097289,0.827806476917365,"betaDiscr0.4"
4863,120,79.84375,736,0.597373012314102,0.82399069455825,"betaDiscr0.4"
4937,121,79.03125,743,0.601083864512483,0.838454284998482,"betaDiscr0.4"
5012,122,79.375,741,0.555738689418282,0.833205402388532,"betaDiscr0.4"
5087,123,77.15625,732,0.587841494903372,0.825650907360221,"betaDiscr0.4"
5161,124,80.84375,732,0.585983962790232,0.830286983914881,"betaDiscr0.4"
5235,125,78.8125,748,0.588463754948514,0.841888936910138,"betaDiscr0.4"
5310,126,78.9375,746,0.60551003878206,0.834072827350302,"betaDiscr0.4"
5385,127,80.625,766,0.624283090660659,0.852447552388319,"betaDiscr0.4"
5462,128,77.3125,774,0.622728334928068,0.844662705823491,"betaDiscr0.4"
5540,129,79.0625,782,0.628473201338025,0.843761544650832,"betaDiscr0.4"
5619,130,79.84375,797,0.607920921305289,0.839949457720726,"betaDiscr0.4"
5699,131,80,782,0.599075714638207,0.844548606765663,"betaDiscr0.4"
5778,132,80.25,765,0.600489313396902,0.835599603123863,"betaDiscr0.4"
5855,133,81.5625,766,0.624528074765014,0.841473361615102,"betaDiscr0.4"
5932,134,79,777,0.567671679932692,0.839247751935055,"betaDiscr0.4"
6010,135,82.375,778,0.591604156606918,0.840223136475603,"betaDiscr0.4"
6088,136,81.4375,777,0.603489373018312,0.842460213270547,"betaDiscr0.4"
6166,137,79.03125,774,0.585253014288641,0.843658443540764,"betaDiscr0.4"
6244,138,79.8125,785,0.612346174527734,0.846441800613717,"betaDiscr0.4"
6323,139,78.15625,791,0.61096848555036,0.841934266878468,"betaDiscr0.4"
6403,140,79.28125,796,0.592709375163719,0.845013944061009,"betaDiscr0.4"
6483,141,79.25,793,0.624015011444396,0.839661456125085,"betaDiscr0.4"
6563,142,80.90625,809,0.621766979382491,0.845484935059585,"betaDiscr0.4"
6644,143,82.84375,803,0.593712690331206,0.849198055914222,"betaDiscr0.4"
6725,144,78.96875,804,0.592195292086188,0.841536823060112,"betaDiscr0.4"
6806,145,77.875,785,0.599434338324596,0.831762266839177,"betaDiscr0.4"
6885,146,81.40625,787,0.602216133346304,0.834398350990527,"betaDiscr0.4"
6964,147,81.25,794,0.624224345005975,0.848071514894834,"betaDiscr0.4"
7044,148,81.21875,797,0.597279099979681,0.84660314564355,"betaDiscr0.4"
7124,149,77.84375,803,0.608395173521048,0.84890724739837,"betaDiscr0.4"
7205,150,80.5,807,0.600686189946776,0.843832771297631,"betaDiscr0.4"
7286,151,79.9375,803,0.60660365650283,0.84297972171992,"betaDiscr0.4"
7367,152,80.5,796,0.559392066251633,0.850597444404858,"betaDiscr0.4"
7447,153,79.09375,795,0.578316154053525,0.853370477534595,"betaDiscr0.4"
7527,154,77.65625,800,0.586531243633958,0.848160615598779,"betaDiscr0.4"
7608,155,80.53125,798,0.580099470846599,0.845391341081429,"betaDiscr0.4"
7688,156,80.21875,782,0.599112161666891,0.843417325217178,"betaDiscr0.4"
7767,157,80.0625,780,0.592186764597418,0.841749031265776,"betaDiscr0.4"
7846,158,79.75,792,0.630154518894602,0.848886095567517,"betaDiscr0.4"
7926,159,81.40625,786,0.600950701891716,0.841582653878008,"betaDiscr0.4"
8005,160,78.90625,789,0.615763708219502,0.843725475372553,"betaDiscr0.4"
8084,161,79.625,795,0.637219886936963,0.838182771906682,"betaDiscr0.4"
8164,162,80.46875,797,0.628121393890089,0.847789206983602,"betaDiscr0.4"
8244,163,81.84375,797,0.605883309795844,0.844311992009013,"betaDiscr0.4"
8324,164,78.71875,783,0.630456632403787,0.842977308011004,"betaDiscr0.4"
8403,165,82.34375,780,0.60876973201057,0.842570724384223,"betaDiscr0.4"
8482,166,80.125,766,0.583421363154849,0.840339220731474,"betaDiscr0.4"
8559,167,80.03125,776,0.567047999977255,0.839801752315735,"betaDiscr0.4"
8637,168,78.8125,778,0.598141196822945,0.846835338945663,"betaDiscr0.4"
8715,169,81.34375,784,0.603194713228224,0.847925376386861,"betaDiscr0.4"
8794,170,80.40625,793,0.585420294956745,0.850914497788201,"betaDiscr0.4"
8874,171,80.96875,794,0.60718681122259,0.84052971606908,"betaDiscr0.4"
8954,172,80.15625,802,0.6122193735596,0.853423882482048,"betaDiscr0.4"
9035,173,81.53125,804,0.603503364316415,0.849012494716922,"betaDiscr0.4"
9116,174,82,787,0.581998553312409,0.843634223266092,"betaDiscr0.4"
9195,175,80,794,0.582680329837169,0.850231152710205,"betaDiscr0.4"
9275,176,79.0625,802,0.623505403517135,0.849807255747563,"betaDiscr0.4"
9356,177,79.375,806,0.60855460226753,0.847414953512503,"betaDiscr0.4"
9437,178,78.71875,813,0.595754676019959,0.856899608061368,"betaDiscr0.4"
9519,179,78.4375,816,0.616256480438878,0.860361277573076,"betaDiscr0.4"
9601,180,78.375,816,0.613962495556798,0.851817741628061,"betaDiscr0.4"
9683,181,80.46875,826,0.611588296717574,0.848416094128845,"betaDiscr0.4"
9766,182,79.15625,825,0.612231453310392,0.85106949329618,"betaDiscr0.4"
9849,183,79.28125,810,0.625616361365193,0.848677403614558,"betaDiscr0.4"
9931,184,79.375,817,0.590760343248725,0.850568091159126,"betaDiscr0.4"
10013,185,78.8125,801,0.624438216818716,0.853917757269434,"betaDiscr0.4"
1,1,1,1,5.35911979364214e-13,0.055721965790259,"normDiscr0.4"
2,2,2,2,5.3058371270068e-13,0.0475350269941286,"normDiscr0.4"
3,3,3,3,9.76282050398795e-13,0.0538624967214544,"normDiscr0.4"
4,4,4,4,5.44679764651413e-13,0.0575847070342283,"normDiscr0.4"
5,5,5,5,1.8605810505613e-12,0.0613153429840544,"normDiscr0.4"
6,6,5.78125,6,3.2454009926956e-10,0.0707988348642652,"normDiscr0.4"
7,7,6.90625,7,5.89953413814452e-11,0.087470727810269,"normDiscr0.4"
8,8,7.96875,8,4.58220686944227e-11,0.0943810570467608,"normDiscr0.4"
9,9,9,9,3.54561579249621e-11,0.105858123729427,"normDiscr0.4"
10,10,9.875,10,3.84375771167366e-10,0.113980549159802,"normDiscr0.4"
12,11,11.8125,12,2.5829853063903e-10,0.123133355308536,"normDiscr0.4"
14,12,12.3125,14,1.03755221957669e-06,0.114478998840231,"normDiscr0.4"
16,13,12.9375,16,6.07641736710453e-08,0.12592758022269,"normDiscr0.4"
18,14,14.34375,18,1.06227617446953e-05,0.129580391326195,"normDiscr0.4"
20,15,17.53125,20,1.586896012058e-05,0.167680072372441,"normDiscr0.4"
23,16,20.40625,23,5.69915199708919e-07,0.187938109516331,"normDiscr0.4"
26,17,23.46875,26,1.36922742178276e-07,0.201942299607982,"normDiscr0.4"
29,18,24.125,27,7.08427458905717e-05,0.183214482260642,"normDiscr0.4"
32,19,25.15625,29,3.48787235376541e-06,0.183969580349936,"normDiscr0.4"
35,20,25.375,31,3.11547251729846e-06,0.18394151851021,"normDiscr0.4"
39,21,26.5,35,5.56837916760446e-06,0.191165977193771,"normDiscr0.4"
43,22,30.28125,39,0.000186942743001785,0.232508725785358,"normDiscr0.4"
47,23,31.84375,43,4.74094253028533e-05,0.230595055277122,"normDiscr0.4"
52,24,36.09375,47,0.000297681561203304,0.253875851390436,"normDiscr0.4"
57,25,38.09375,51,6.13159598998952e-05,0.298980904245067,"normDiscr0.4"
63,26,40.09375,56,4.40656431228378e-05,0.318282463702537,"normDiscr0.4"
69,27,43.25,62,7.39894491016109e-05,0.348528477857799,"normDiscr0.4"
76,28,45,68,0.000222644606248261,0.353286619463266,"normDiscr0.4"
83,29,45.84375,73,0.000361818517092449,0.378965115875932,"normDiscr0.4"
91,30,47.125,75,0.000174703505043714,0.333682306104178,"normDiscr0.4"
99,31,46.75,80,0.000101902427634289,0.33309086540776,"normDiscr0.4"
108,32,50.90625,88,0.000806506978060173,0.366997549976389,"normDiscr0.4"
117,33,55.03125,93,0.00145914600745784,0.400013502870915,"normDiscr0.4"
127,34,58.59375,101,0.00777729153822312,0.442031730504622,"normDiscr0.4"
138,35,58.375,109,0.0020678292332473,0.429084995531517,"normDiscr0.4"
149,36,61.09375,117,0.0185096527999669,0.4706538609575,"normDiscr0.4"
161,37,59.6875,123,0.0046269972358758,0.48013938698213,"normDiscr0.4"
174,38,60.78125,135,0.0204318077728031,0.513022952602087,"normDiscr0.4"
188,39,65.25,146,0.0215399345097456,0.561593320703649,"normDiscr0.4"
203,40,65.6875,159,0.032348027204763,0.593242029179533,"normDiscr0.4"
219,41,63.21875,168,0.0508790891195352,0.579541333808069,"normDiscr0.4"
236,42,66.71875,174,0.0534558226548014,0.589949344761208,"normDiscr0.4"
254,43,68.5,190,0.0370549910093039,0.600743693512309,"normDiscr0.4"
274,44,72.8125,209,0.0752414131606012,0.653418321539298,"normDiscr0.4"
295,45,71.25,228,0.119594072988922,0.660884741974041,"normDiscr0.4"
318,46,69.6875,239,0.128986907000991,0.668052022483426,"normDiscr0.4"
342,47,74.8125,260,0.136763998551165,0.66188092413926,"normDiscr0.4"
369,48,72.90625,273,0.179630927306935,0.697095560602416,"normDiscr0.4"
397,49,72.25,295,0.244132191068836,0.712410211944454,"normDiscr0.4"
427,50,73.375,316,0.232908084467175,0.734901817768822,"normDiscr0.4"
459,51,74,339,0.282214414613304,0.737807911255583,"normDiscr0.4"
493,52,72.375,363,0.372215828345849,0.739613917548266,"normDiscr0.4"
530,53,73,385,0.377818234063062,0.754697235855626,"normDiscr0.4"
569,54,75.1875,408,0.327836845098308,0.771981750726923,"normDiscr0.4"
610,55,73.1875,423,0.43608880331935,0.779138509557704,"normDiscr0.4"
653,56,73.40625,446,0.404760321889621,0.777505775202919,"normDiscr0.4"
698,57,74.59375,474,0.503803040565086,0.784334582125564,"normDiscr0.4"
746,58,75.375,498,0.490709542989546,0.784134853797082,"normDiscr0.4"
796,59,74.125,499,0.413596600315481,0.772417643500375,"normDiscr0.4"
846,60,74.03125,501,0.460703625239197,0.78936869147863,"normDiscr0.4"
897,61,76.375,513,0.442870167658204,0.782000804561179,"normDiscr0.4"
949,62,76.28125,525,0.466116352695524,0.796834386673092,"normDiscr0.4"
1002,63,75.375,546,0.444211334093889,0.788726249315136,"normDiscr0.4"
1057,64,75.9375,554,0.485220640673724,0.789309103234738,"normDiscr0.4"
1113,65,78.25,563,0.531066673410735,0.802716112713635,"normDiscr0.4"
1170,66,78.6875,575,0.478847723538888,0.806820803430481,"normDiscr0.4"
1228,67,74.46875,578,0.549104935975126,0.797168473623539,"normDiscr0.4"
1286,68,75.71875,574,0.490673465296283,0.794691305896423,"normDiscr0.4"
1344,69,77.34375,585,0.520376612496025,0.815010423088794,"normDiscr0.4"
1403,70,74.625,585,0.546370066365497,0.804947539995002,"normDiscr0.4"
1462,71,75.03125,606,0.564788090039549,0.823705317636078,"normDiscr0.4"
1523,72,74.125,625,0.594806405951449,0.826074005345506,"normDiscr0.4"
1586,73,74.78125,629,0.546161443412108,0.831789797916458,"normDiscr0.4"
1649,74,75.21875,643,0.543556184691655,0.822833127660096,"normDiscr0.4"
1714,75,74.34375,649,0.564662372244921,0.824827867063336,"normDiscr0.4"
1779,76,76.625,660,0.584638269396176,0.829170404531604,"normDiscr0.4"
1846,77,75.3125,657,0.564836234314091,0.822836962088503,"normDiscr0.4"
1912,78,77.25,674,0.559705659143321,0.833415444469668,"normDiscr0.4"
1980,79,76.1875,692,0.608665755485315,0.840508771405278,"normDiscr0.4"
2050,80,78.03125,699,0.575524217564476,0.833644078597018,"normDiscr0.4"
2120,81,75.875,703,0.585831273877033,0.843351368415462,"normDiscr0.4"
2191,82,77,699,0.587122003801285,0.826924921341045,"normDiscr0.4"
2261,83,76.78125,702,0.600012793893694,0.826860519098009,"normDiscr0.4"
2332,84,75.875,697,0.571440729599643,0.830590511150493,"normDiscr0.4"
2402,85,77.46875,710,0.587717638548891,0.842768436911475,"normDiscr0.4"
2474,86,76.6875,733,0.615227110027364,0.843131259485715,"normDiscr0.4"
2548,87,78.65625,736,0.587636856046729,0.835411876997565,"normDiscr0.4"
2622,88,74.25,741,0.579127727406245,0.841964813002491,"normDiscr0.4"
2697,89,77.25,740,0.582836699138629,0.844039823101791,"normDiscr0.4"
2772,90,78.625,732,0.57268951143718,0.835865146130481,"normDiscr0.4"
2846,91,77,743,0.553567628285152,0.847370528937814,"normDiscr0.4"
2921,92,78.15625,736,0.582319728901305,0.833509089658746,"normDiscr0.4"
2995,93,79.34375,728,0.569118728566619,0.831327533052529,"normDiscr0.4"
3068,94,74.5,734,0.598793079124001,0.835269512252803,"normDiscr0.4"
3142,95,77.6875,737,0.589734668296027,0.842533611181029,"normDiscr0.4"
3216,96,76.8125,752,0.580189196460125,0.839686622008452,"normDiscr0.4"
3292,97,77.6875,752,0.594970865597458,0.838995593996323,"normDiscr0.4"
3368,98,77.71875,758,0.571301206212694,0.840600668523033,"normDiscr0.4"
3444,99,79.0625,762,0.594211111399853,0.839794673949921,"normDiscr0.4"
3521,100,78.125,779,0.6001059171289,0.853355849306901,"normDiscr0.4"
3599,101,79.5625,786,0.58848826852689,0.848644423886346,"normDiscr0.4"
3678,102,76.75,788,0.604383906986385,0.845295281655663,"normDiscr0.4"
3757,103,77.28125,784,0.604168771910178,0.85037177874077,"normDiscr0.4"
3836,104,76.09375,773,0.59514305710613,0.85090146509739,"normDiscr0.4"
3914,105,78.5,776,0.603476914771516,0.847857075842758,"normDiscr0.4"
3992,106,77.40625,785,0.610493147342015,0.852482819286576,"normDiscr0.4"
4071,107,78.75,780,0.604376950178738,0.850342802287071,"normDiscr0.4"
4150,108,77.78125,781,0.61125578903589,0.849223841933318,"normDiscr0.4"
4229,109,78.125,777,0.571415938127884,0.840344517918056,"normDiscr0.4"
4307,110,75.625,781,0.594464112323313,0.84964145085016,"normDiscr0.4"
4386,111,76.03125,788,0.589256150281268,0.851997607158908,"normDiscr0.4"
4465,112,79.03125,799,0.584964129140752,0.850539739075744,"normDiscr0.4"
4545,113,76.40625,799,0.583478377223752,0.844465208608518,"normDiscr0.4"
4625,114,76.5,789,0.617228650380168,0.846390020773371,"normDiscr0.4"
4704,115,78.03125,780,0.613993484627884,0.849657654779214,"normDiscr0.4"
4783,116,74.15625,780,0.59724748887881,0.863287680070825,"normDiscr0.4"
4862,117,75.59375,791,0.55968795732863,0.854312375756874,"normDiscr0.4"
4942,118,77.28125,792,0.612257162687325,0.848197694589534,"normDiscr0.4"
5022,119,76.5,788,0.619087637962469,0.848354791806978,"normDiscr0.4"
5101,120,77.9375,791,0.63131831288075,0.840443205582531,"normDiscr0.4"
5181,121,76.09375,778,0.613271629064251,0.847990337188488,"normDiscr0.4"
5259,122,77.6875,758,0.601681112746505,0.843679812361375,"normDiscr0.4"
5335,123,78.78125,752,0.5892683405334,0.846405880347673,"normDiscr0.4"
5411,124,77.21875,736,0.596635073633797,0.841813993597513,"normDiscr0.4"
5485,125,78.5,742,0.581212139629127,0.842442227310114,"normDiscr0.4"
5560,126,79.40625,734,0.58322784637348,0.842616590289937,"normDiscr0.4"
5634,127,77.96875,730,0.597608660886722,0.839335349907392,"normDiscr0.4"
5708,128,77.90625,740,0.567328496785611,0.838128947457024,"normDiscr0.4"
5783,129,77.15625,751,0.59747938686462,0.843171977270516,"normDiscr0.4"
5859,130,79.40625,749,0.585083002330144,0.843372963856367,"normDiscr0.4"
5934,131,79.21875,768,0.615904527500235,0.849702435327989,"normDiscr0.4"
6011,132,76.78125,756,0.587876860645804,0.845678926592415,"normDiscr0.4"
6087,133,75.28125,759,0.603280688755619,0.842244844688245,"normDiscr0.4"
6163,134,76.40625,776,0.613791168731953,0.840535306892664,"normDiscr0.4"
6241,135,77.4375,776,0.616438910099431,0.844003427484832,"normDiscr0.4"
6319,136,77.5625,752,0.581267028005101,0.840840158456214,"normDiscr0.4"
6395,137,76.84375,760,0.617599797347109,0.842125479759249,"normDiscr0.4"
6472,138,78.53125,773,0.639336216244699,0.849523043522584,"normDiscr0.4"
6550,139,77.78125,781,0.617687594210205,0.843829304259149,"normDiscr0.4"
6629,140,78.46875,785,0.58884413541219,0.839246301305169,"normDiscr0.4"
6708,141,76.40625,776,0.597525639239276,0.84259982600596,"normDiscr0.4"
6786,142,79.0625,782,0.603538237276572,0.841357020810582,"normDiscr0.4"
6865,143,79.71875,789,0.617710208683362,0.843909766166505,"normDiscr0.4"
6944,144,79.46875,787,0.611380850163169,0.844985485967677,"normDiscr0.4"
7023,145,77.84375,783,0.567855308660807,0.840460756465263,"normDiscr0.4"
7102,146,78.1875,782,0.619474644192158,0.843852574471031,"normDiscr0.4"
7181,147,78.0625,785,0.593924413040706,0.845100288630526,"normDiscr0.4"
7260,148,79.5,779,0.614718878845064,0.841554578669779,"normDiscr0.4"
7338,149,79.34375,771,0.592195228848369,0.831029455928538,"normDiscr0.4"
7416,150,77.90625,777,0.616290564186701,0.84415907965279,"normDiscr0.4"
7494,151,77.5,781,0.620827583872111,0.836363814425216,"normDiscr0.4"
7573,152,78.46875,792,0.627676335677367,0.834627787328994,"normDiscr0.4"
7653,153,76.9375,787,0.62131846343098,0.829525338813853,"normDiscr0.4"
7732,154,77.5,790,0.613518033991977,0.84553335927802,"normDiscr0.4"
7812,155,77.9375,795,0.583435134090887,0.843344994255403,"normDiscr0.4"
7892,156,78.25,791,0.59322041612165,0.844300683329635,"normDiscr0.4"
7972,157,77.21875,788,0.564254937200159,0.842748847710379,"normDiscr0.4"
8051,158,81.84375,793,0.589622622847414,0.839403943261703,"normDiscr0.4"
8131,159,77.28125,788,0.603141759150273,0.841891581896095,"normDiscr0.4"
8210,160,76.4375,789,0.598684259714897,0.852154247686462,"normDiscr0.4"
8289,161,76.71875,808,0.60239716796996,0.854416172392713,"normDiscr0.4"
8370,162,79.5,788,0.615634119407743,0.850672329749655,"normDiscr0.4"
8449,163,77.09375,776,0.578343432837243,0.847660621045462,"normDiscr0.4"
8527,164,78.78125,764,0.599057120880409,0.840647869401944,"normDiscr0.4"
8604,165,77.34375,761,0.600386131019167,0.844860276734755,"normDiscr0.4"
8681,166,79,760,0.577921884610128,0.839294417475034,"normDiscr0.4"
8758,167,75.90625,774,0.597838850190512,0.848010487360525,"normDiscr0.4"
8836,168,78.5,776,0.629952911734903,0.85236401050335,"normDiscr0.4"
8914,169,77.6875,772,0.595462264614128,0.839976498522605,"normDiscr0.4"
8992,170,76.78125,793,0.603191409607067,0.842124532931521,"normDiscr0.4"
9072,171,78.875,781,0.594293129704724,0.839612215525778,"normDiscr0.4"
9151,172,78.4375,772,0.59226394113638,0.845086469286135,"normDiscr0.4"
9229,173,75.71875,759,0.607166597683023,0.835638529771384,"normDiscr0.4"
9305,174,78.21875,768,0.612525973783134,0.841004017571099,"normDiscr0.4"
9382,175,78,785,0.632540574613047,0.841702831526046,"normDiscr0.4"
9461,176,76.53125,789,0.57448932668086,0.843070120524365,"normDiscr0.4"
9540,177,76.90625,785,0.586648389755273,0.846554008834757,"normDiscr0.4"
9619,178,77.6875,775,0.583396003701835,0.841740498594755,"normDiscr0.4"
9697,179,75.78125,768,0.610956489153732,0.841696618679274,"normDiscr0.4"
9774,180,77.4375,762,0.594872312859952,0.836966732580989,"normDiscr0.4"
9851,181,79.09375,736,0.569411776998039,0.840239097127411,"normDiscr0.4"
9925,182,78.75,746,0.571685759210008,0.82599379031841,"normDiscr0.4"
10000,183,76.75,745,0.5912500756142,0.83847917983338,"normDiscr0.4"
